,10,Tamb(K),Rh(%),Pres(mb),Tir(K),Rain,Azim,Elev,TkBB(K), 22.235, 23.035, 23.835, 26.235, 30.000, 51.250, 52.280, 53.850, 54.940, 56.660, 57.290, 58.800
2009/01/01,,,,,,,,,,,,,,,,,,,,,
2009/01/02,,,,,,,,,,,,,,,,,,,,,
2009/01/03,,,,,,,,,,,,,,,,,,,,,
2009/01/04,,,,,,,,,,,,,,,,,,,,,
2009/01/05,,,,,,,,,,,,,,,,,,,,,
2009/01/06,,,,,,,,,,,,,,,,,,,,,
2009/01/07,,,,,,,,,,,,,,,,,,,,,
2009/01/08,,,,,,,,,,,,,,,,,,,,,
2009/01/09,,,,,,,,,,,,,,,,,,,,,
2009/01/10,,,,,,,,,,,,,,,,,,,,,
2009/01/11,,,,,,,,,,,,,,,,,,,,,
2009/01/12,,,,,,,,,,,,,,,,,,,,,
2009/01/13,,,,,,,,,,,,,,,,,,,,,
2009/01/14,,,,,,,,,,,,,,,,,,,,,
2009/01/15,11,272.04766666666666,23.104666666666667,794.9066666666668,259.6433333333333,N,0.0,90.0,282.97099999999995,8.815999999999999,7.745333333333333,7.064333333333334,6.679333333333333,7.688333333333333,71.98566666666667,104.31633333333332,208.735,261.3173333333333,270.368,270.8256666666667,271.38933333333335
2009/01/16,,,,,,,,,,,,,,,,,,,,,
2009/01/17,,,,,,,,,,,,,,,,,,,,,
2009/01/18,,,,,,,,,,,,,,,,,,,,,
2009/01/19,,,,,,,,,,,,,,,,,,,,,
2009/01/20,11,270.6863333333333,56.26733333333333,797.2566666666667,260.57666666666665,N,0.0,90.0,281.751,12.407666666666666,10.83,9.907333333333334,8.376,8.795333333333334,72.64033333333333,103.68233333333333,206.76333333333335,257.67133333333334,267.02733333333333,267.8153333333333,268.48133333333334
2009/01/21,11,277.85266666666666,13.144666666666666,793.6,265.9233333333333,N,0.0,90.0,287.548,7.4863333333333335,6.418000000000001,6.295,6.848333333333334,8.159333333333333,68.55199999999999,100.92033333333333,208.713,264.05033333333336,275.5756666666667,276.37266666666665,277.185
2009/01/22,11,260.0953333333333,47.66233333333333,799.3233333333334,257.90999999999997,N,0.0,90.0,272.89566666666667,11.664666666666665,10.027333333333333,9.604333333333333,8.651,8.574,72.23933333333332,102.62066666666666,201.76366666666667,249.33366666666666,255.5896666666667,256.20433333333335,256.6603333333333
2009/01/23,11,261.639,43.77433333333333,800.5166666666668,253.48666666666668,N,0.0,90.0,273.66099999999994,10.782,9.303,8.965,8.328666666666667,8.264,72.076,102.72033333333334,203.01833333333332,251.34166666666664,258.62333333333333,259.2803333333334,259.60366666666664
2009/01/24,11,272.70899999999995,29.92666666666667,793.7,263.18,N,0.0,90.0,283.0573333333333,8.590333333333334,7.105,7.247999999999999,7.462666666666667,8.567,69.54366666666667,101.554,206.78566666666666,259.82366666666667,269.71066666666667,270.3206666666666,270.9053333333333
2009/01/25,,,,,,,,,,,,,,,,,,,,,
2009/01/26,,,,,,,,,,,,,,,,,,,,,
2009/01/27,11,276.498,22.27733333333333,793.6,267.64,N,0.0,90.0,287.46866666666665,9.044333333333334,7.870333333333333,7.346333333333333,7.367,8.647333333333332,68.66666666666666,100.92833333333334,209.19533333333334,263.267,273.3283333333333,273.8903333333333,274.43533333333335
2009/01/28,11,274.0096666666667,21.337666666666664,793.7,265.3,N,0.0,90.0,284.2476666666667,10.346666666666666,9.004666666666665,8.193000000000001,7.699333333333334,8.729666666666667,69.95,101.93133333333333,209.00066666666663,261.279,270.6836666666667,271.31266666666664,271.848
