,10,Tamb(K),Rh(%),Pres(mb),Tir(K),Rain,Azim,Elev,TkBB(K), 22.235, 23.035, 23.835, 26.235, 30.000, 51.250, 52.280, 53.850, 54.940, 56.660, 57.290, 58.800
2009/01/28,11.0,273.7112903225806,21.8,793.7000000000003,265.9129032258064,,0.0,90.0,283.9441935483871,10.672258064516129,9.024193548387094,8.449677419354837,7.798064516129032,8.811290322580644,70.52870967741936,102.53032258064516,209.11612903225804,261.31451612903226,270.5829032258065,271.2129032258065,271.79806451612905
2009/01/29,11.0,275.4007344632768,24.11570621468927,793.6259887005652,266.9107344632768,,0.0,90.0,285.769604519774,12.074576271186439,10.307062146892656,9.237966101694916,8.026497175141243,8.99457627118644,70.16762711864406,102.6935593220339,210.45418079096044,263.40491525423727,273.1508474576271,273.8001694915254,274.3681355932203
2009/01/30,,,,,,,,,,,,,,,,,,,,,
2009/01/31,,,,,,,,,,,,,,,,,,,,,
2009/02/01,,,,,,,,,,,,,,,,,,,,,
2009/02/02,11.0,274.80064516129033,65.38612903225805,793.7000000000003,269.4419354838709,,0.0,90.0,284.1629032258064,13.803548387096775,11.956774193548384,10.70451612903226,8.640967741935482,8.667096774193551,71.40387096774194,103.36387096774195,209.49612903225807,261.5709677419355,270.71774193548396,271.4838709677419,272.11129032258066
2009/02/03,11.0,278.29290322580647,47.58451612903226,793.5870967741932,270.2903225806452,,0.0,90.0,287.4993548387097,9.246451612903227,7.895483870967742,7.52258064516129,6.965806451612904,7.619677419354839,69.02774193548386,101.74806451612905,210.58580645161288,265.46967741935487,276.5348387096775,277.27483870967745,277.81935483870967
2009/02/04,11.0,275.7006451612903,63.92903225806452,793.6193548387097,269.5580645161291,,0.0,90.0,285.25774193548386,14.11483870967742,12.09032258064516,10.940322580645159,8.600645161290322,8.708709677419355,71.19322580645161,103.65032258064517,211.01387096774192,263.66935483870964,272.1541935483871,272.6558064516128,272.99064516129033
2009/02/05,11.0,283.32870967741934,16.90838709677419,793.4225806451615,277.0064516129033,,0.0,90.0,292.0241935483871,,8.708387096774192,7.290322580645161,6.761935483870968,7.467096774193549,69.29870967741935,102.83741935483872,213.40903225806449,268.0535483870968,279.16096774193545,279.7983870967742,280.6783870967742
2009/02/06,11.0,276.4338709677418,60.92193548387096,793.5999999999997,270.49032258064517,,0.0,90.0,286.7332258064517,16.84580645161291,14.788709677419355,12.54258064516129,9.512903225806452,9.097096774193549,71.4016129032258,104.83709677419354,212.9216129032258,264.7816129032258,272.79645161290324,273.35903225806453,273.85064516129034
2009/02/07,11.0,273.7770967741936,50.407741935483884,794.3516129032255,272.77741935483874,,0.0,90.0,284.2716129032258,18.335806451612903,16.111290322580643,13.472580645161292,9.975161290322578,9.609032258064518,73.06161290322581,105.5741935483871,211.2990322580645,261.20451612903224,268.7041935483871,269.46387096774197,270.14741935483875
2009/02/08,11.0,275.67193548387104,33.52612903225806,796.016129032258,270.12258064516135,,0.0,90.0,285.8903225806452,11.64483870967742,9.892258064516128,9.05483870967742,7.621612903225806,8.221290322580646,71.24677419354838,103.59548387096774,210.47451612903225,262.2070967741936,271.6606451612903,272.3490322580645,272.9316129032258
2009/02/09,11.0,277.7187096774193,28.65935483870968,793.5903225806447,264.8935483870968,,0.0,90.0,288.21935483870965,7.950645161290321,6.796451612903225,6.575483870967742,6.254516129032256,7.446774193548387,69.6725806451613,102.68193548387094,212.71580645161288,266.15161290322584,276.0587096774194,276.6406451612903,277.0461290322581
2009/02/10,11.0,281.02387096774197,17.306451612903228,793.490322580645,268.03225806451616,,0.0,90.0,291.51064516129037,11.075161290322582,9.48,8.12225806451613,6.477096774193546,7.7625806451612895,68.98129032258065,102.5693548387097,215.00806451612897,270.1116129032258,280.04709677419356,280.47161290322583,280.8077419354839
2009/02/11,11.0,283.51612903225805,41.88290322580645,793.4064516129035,270.7612903225806,,0.0,90.0,291.51354838709676,11.698709677419355,9.754838709677419,8.020967741935484,6.0774193548387085,6.849677419354838,66.8425806451613,101.4716129032258,216.5016129032258,274.28225806451616,285.3835483870968,285.89129032258074,286.0722580645162
2009/02/12,11.0,275.10193548387105,31.68096774193548,793.6032258064513,272.07096774193553,,0.0,90.0,285.5248387096774,15.803870967741938,13.300967741935482,10.999032258064517,7.711935483870967,8.410967741935485,69.77258064516128,101.88419354838709,207.758064516129,260.6483870967742,269.9787096774194,270.7829032258064,271.5954838709677
