,QC_08,lv1_08,Ground_temperature_08,Temperature_08,Temperature_08_H0,Relative_humidity_08,Sep,QC_20,lv1_20,Ground_temperature_20,Temperature_20,Temperature_20_H0,Relative_humidity_20
2010/01/01,0,31,265.34,47,253.78242,43,/,0,31,272.71,47,257.46719,28
2010/01/02,0,31,264.82,47,254.06076,28,/,0,31,274.74,47,257.55219,24
2010/01/03,0,31,269.98,47,256.62994,41,/,0,31,273.41,47,260.49231,34
2010/01/04,0,31,265.17,47,257.32745,35,/,0,31,270.71,47,259.82947,42
2010/01/05,0,31,269.14,47,256.16107,42,/,0,31,275.75,47,257.18048,42
2010/01/06,0,31,267.09,47,255.12366,42,/,0,31,275.34,47,258.46048,41
2010/01/07,0,31,268.14,47,254.90089,43,/,0,31,276.73,47,258.92624,42
2010/01/08,0,31,270.53,47,258.3775,42,/,0,31,274.46,47,262.89322,42
2010/01/09,0,31,268.0,47,258.25891,42,/,0,31,270.85,47,260.58322,42
2010/01/10,0,31,267.18,47,255.5114,42,/,0,31,266.51,47,256.40826,42
2010/01/11,0,31,263.2,47,253.67177,42,/,0,31,263.94,47,249.87137,42
2010/01/12,0,31,258.99,47,251.15991,42,/,0,31,264.96,47,255.17218,41
2010/01/13,0,31,259.26,47,251.01869,42,/,0,31,271.34,47,257.87036,35
2010/01/14,0,31,265.23,47,257.39734,35,/,0,31,270.38,47,259.98273,35
2010/01/15,0,31,265.74,47,255.53983,42,/,0,31,274.19,47,260.99103,44
2010/01/16,0,31,267.77,47,258.54831,29,/,0,31,274.79,47,262.02423,35
2010/01/17,0,31,268.58,47,259.84625,35,/,0,31,276.54,47,265.01602,30
2010/01/18,0,31,269.05,47,262.56232,35,/,0,31,273.62,47,268.3331,35
2010/01/19,0,31,268.89,47,261.93069,35,/,0,31,269.39,47,263.33139,35
2010/01/20,0,31,261.38,47,259.44238,35,/,0,31,266.28,47,257.23514,34
2010/01/21,0,31,260.15,47,254.8423,34,/,0,31,262.01,47,260.40637,29
2010/01/22,0,31,257.86,47,255.67833,35,/,0,31,266.08,47,258.28949,42
2010/01/23,0,31,261.21,47,255.2478,42,/,0,31,269.84,47,261.49493,29
2010/01/24,0,31,265.69,47,255.25914,42,/,0,31,269.3,47,257.80478,41
2010/01/25,0,31,263.75,47,253.629,41,/,0,31,273.26,47,260.57428,29
2010/01/26,0,31,269.04,47,257.96304,29,/,0,31,270.09,47,258.93579,28
2010/01/27,0,31,263.84,47,254.09663,23,/,0,31,271.57,47,258.59918,24
2010/01/28,0,31,266.4,47,255.89233,29,/,0,31,271.06,47,259.37463,29
2010/01/29,0,31,264.09,47,255.97403,28,/,0,31,270.16,41,259.78033,28
2010/01/30,0,31,263.73,47,256.44876,29,/,0,31,273.26,47,258.04642,29
2010/01/31,0,31,267.61,47,256.90546,28,/,0,31,268.77,47,258.52142,41
2010/02/01,0,31,264.84,47,253.9791,28,/,0,31,271.98,47,258.49417,24
2010/02/02,0,31,266.93,47,253.8063,34,/,0,31,271.18,47,256.42099,41
2010/02/03,0,31,264.73,47,253.47136,28,/,0,31,271.76,47,255.87131,41
2010/02/04,0,31,265.02,47,252.81924,41,/,0,31,274.02,47,257.02966,41
2010/02/05,0,31,267.51,47,254.49512,28,/,0,31,275.54,47,259.2229,28
2010/02/06,0,31,268.61,47,255.89516,28,/,0,31,274.02,47,264.76132,24
2010/02/07,0,31,269.17,47,261.11163,29,/,0,31,275.37,47,264.69998,29
2010/02/08,0,31,269.43,47,260.86337,29,/,0,31,272.37,47,264.58401,29
2010/02/09,0,31,267.88,47,264.19946,29,/,3,31,266.56,47,264.36249,29
2010/02/10,3,31,265.52,47,264.28424,29,/,0,31,261.65,47,260.23508,29
2010/02/11,0,31,257.85,47,255.3403,41,/,0,31,266.65,47,258.71152,29
2010/02/12,0,31,263.33,47,255.35039,42,/,0,31,272.31,47,260.81848,30
2010/02/13,0,31,267.77,47,259.30576,29,/,0,31,265.53,47,257.37692,41
2010/02/14,0,31,260.85,47,256.2135,41,/,0,31,264.69,47,255.77296,29
2010/02/15,0,31,262.1,47,254.62698,24,/,0,31,268.98,47,255.61066,28
2010/02/16,0,31,264.41,47,254.46765,24,/,0,31,265.84,47,251.7937,41
2010/02/17,0,31,259.67,47,250.9393,28,/,0,31,267.97,47,251.94661,28
2010/02/18,0,31,262.74,47,249.97404,28,/,0,31,271.16,47,254.32034,23
2010/02/19,0,31,264.02,47,250.79137,41,/,0,31,276.24,47,256.50992,28
2010/02/20,0,31,267.6,47,254.94492,25,/,0,31,281.78,47,261.56778,28
2010/02/21,0,31,269.22,47,256.25107,24,/,0,31,278.1,47,261.75443,24
2010/02/22,0,31,272.13,47,256.32047,29,/,0,31,283.24,47,263.99402,29
2010/02/23,0,31,275.69,47,260.3656,29,/,0,31,283.2,47,267.25916,30
2010/02/24,0,31,274.67,47,261.14673,29,/,0,31,280.01,47,262.9725,29
2010/02/25,0,31,272.82,47,257.19528,29,/,0,31,283.28,47,263.24649,29
2010/02/26,0,31,276.21,47,259.37573,42,/,0,31,283.4,47,263.0314,29
2010/02/27,0,0,274.74,47,259.8497,29,/,0,31,286.7,47,268.06445,29
2010/02/28,0,31,274.25,47,261.18939,29,/,0,31,279.31,47,263.59814,29
2010/03/01,0,31,273.73,47,261.58713,29,/,0,31,275.37,47,264.32809,29
2010/03/02,0,31,273.38,47,262.52493,29,/,3,31,273.22,47,262.04739,29
2010/03/03,3,31,271.21,47,258.02899,28,/,0,31,273.49,47,258.43765,28
2010/03/04,0,31,271.7,47,258.53799,28,/,0,31,269.61,47,261.02914,29
2010/03/05,0,31,269.97,47,254.49512,28,/,0,31,270.46,47,259.57809,29
2010/03/06,0,31,268.76,47,257.05563,47,/,0,31,273.2,47,258.62833,42
