,10,Tamb(K),Rh(%),Pres(mb),Tir(K),Rain,Azim,Elev,TkBB(K), 22.235, 23.035, 23.835, 26.235, 30.000, 51.250, 52.280, 53.850, 54.940, 56.660, 57.290, 58.800
2009/01/01,,,,,,,,,,,,,,,,,,,,,
2009/01/02,,,,,,,,,,,,,,,,,,,,,
2009/01/03,,,,,,,,,,,,,,,,,,,,,
2009/01/04,,,,,,,,,,,,,,,,,,,,,
2009/01/05,,,,,,,,,,,,,,,,,,,,,
2009/01/06,,,,,,,,,,,,,,,,,,,,,
2009/01/07,,,,,,,,,,,,,,,,,,,,,
2009/01/08,,,,,,,,,,,,,,,,,,,,,
2009/01/09,,,,,,,,,,,,,,,,,,,,,
2009/01/10,,,,,,,,,,,,,,,,,,,,,
2009/01/11,,,,,,,,,,,,,,,,,,,,,
2009/01/12,,,,,,,,,,,,,,,,,,,,,
2009/01/13,,,,,,,,,,,,,,,,,,,,,
2009/01/14,,,,,,,,,,,,,,,,,,,,,
2009/01/15,,,,,,,,,,,,,,,,,,,,,
2009/01/16,,,,,,,,,,,,,,,,,,,,,
2009/01/17,,,,,,,,,,,,,,,,,,,,,
2009/01/18,,,,,,,,,,,,,,,,,,,,,
2009/01/19,,,,,,,,,,,,,,,,,,,,,
2009/01/20,,,,,,,,,,,,,,,,,,,,,
2009/01/21,,,,,,,,,,,,,,,,,,,,,
2009/01/22,,,,,,,,,,,,,,,,,,,,,
2009/01/23,,,,,,,,,,,,,,,,,,,,,
2009/01/24,,,,,,,,,,,,,,,,,,,,,
2009/01/25,,,,,,,,,,,,,,,,,,,,,
2009/01/26,,,,,,,,,,,,,,,,,,,,,
2009/01/27,,,,,,,,,,,,,,,,,,,,,
2009/01/28,,,,,,,,,,,,,,,,,,,,,
2009/01/29,11,269.23333333333335,34.35166666666667,793.8,263.54999999999995,N,0.0,90.0,279.98299999999995,13.451,11.346666666666668,9.896333333333333,8.568999999999999,8.724333333333334,70.32033333333334,102.86166666666666,210.38466666666665,262.70799999999997,270.5,270.85833333333335,270.942
2009/01/30,,,,,,,,,,,,,,,,,,,,,
2009/01/31,,,,,,,,,,,,,,,,,,,,,
2009/02/01,,,,,,,,,,,,,,,,,,,,,
2009/02/02,,,,,,,,,,,,,,,,,,,,,
2009/02/03,11,269.50433333333336,75.52466666666666,793.8,262.68666666666667,N,0.0,90.0,279.5063333333333,11.712333333333333,10.246,9.341000000000001,8.214,8.16,70.749,102.46066666666667,208.575,260.9083333333333,269.39300000000003,270.04,270.1093333333333
2009/02/04,11,269.363,86.22933333333334,793.8,263.4433333333334,N,0.0,90.0,279.0826666666667,9.566666666666666,7.922666666666667,7.379,7.236666666666666,7.422,69.43633333333334,102.05533333333332,210.06866666666667,263.5826666666667,271.733,271.9856666666667,271.7453333333333
2009/02/05,,,,,,,,,,,,,,,,,,,,,
2009/02/06,11,273.7656666666667,78.83533333333332,793.7,267.61333333333334,N,0.0,90.0,283.942,14.418333333333333,12.655666666666667,11.18,9.099666666666666,8.578666666666667,71.14366666666666,103.75166666666667,212.673,264.928,272.2786666666667,272.546,272.6843333333333
2009/02/07,11,272.05899999999997,60.346666666666664,793.7,272.6533333333333,N,0.0,90.0,283.7593333333333,15.635333333333335,13.589,12.088666666666667,10.076333333333332,9.955666666666666,73.576,105.53833333333334,212.607,262.67533333333336,269.5056666666667,269.959,270.18
